MolFrac_1,T
1.0,305.65
0.0,305.65
0.1,305.65
0.2,305.65
0.3,305.65
0.4,305.65
0.5,305.65
0.6,305.65
0.7,305.65
0.8,305.65
0.9,305.65
1.0,305.65
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
0.0,305.65
0.1,305.65
0.2,305.65
0.3,305.65
0.4,305.65
0.5,305.65
0.6,305.65
0.7,305.65
0.8,305.65
0.9,305.65
1.0,305.65
0.0,305.65
0.1,305.65
0.2,305.65
0.3,305.65
0.4,305.65
0.5,305.65
0.6,305.65
0.7,305.65
0.8,305.65
0.9,305.65
1.0,305.65
0.0,305.65
0.1,305.65
0.2,305.65
0.3,305.65
0.4,305.65
0.5,305.65
0.6,305.65
0.7,305.65
0.8,305.65
0.9,305.65
1.0,305.65
0.0,308.9833333333333
0.1,308.9833333333333
0.2,308.9833333333333
0.3,308.9833333333333
0.4,308.9833333333333
0.5,308.9833333333333
0.6,308.9833333333333
0.7,308.9833333333333
0.8,308.9833333333333
0.9,308.9833333333333
1.0,308.9833333333333
0.12,318.15
0.22,318.15
0.32,318.15
0.42,318.15
0.52,318.15
0.62,318.15
0.72,318.15
0.82,318.15
0.92,318.15
1.02,318.15
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,315.65
0.1,315.65
0.2,315.65
0.3,315.65
0.4,315.65
0.5,315.65
0.6,315.65
0.7,315.65
0.8,315.65
0.9,315.65
1.0,315.65
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,323.15
0.1,323.15
0.2,323.15
0.3,323.15
0.4,323.15
0.5,323.15
0.6,323.15
0.7,323.15
0.8,323.15
0.9,323.15
1.0,323.15
0.0,323.15
0.1,323.15
0.2,323.15
0.3,323.15
0.4,323.15
0.5,323.15
0.6,323.15
0.7,323.15
0.8,323.15
0.9,323.15
1.0,323.15
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,323.15
0.1,323.15
0.2,323.15
0.3,323.15
0.4,323.15
0.5,323.15
0.6,323.15
0.7,323.15
0.8,323.15
0.0,323.15
0.1,323.15
0.2,323.15
0.3,323.15
0.4,323.15
0.5,323.15
0.6,323.15
0.7,323.15
0.8,323.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.05,318.15
0.15,318.15
0.25,318.15
0.35,318.15
0.45,318.15
0.55,318.15
0.65,318.15
0.75,318.15
0.85,318.15
0.95,318.15
1.05,318.15
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,318.15
0.1,316.25
0.2,316.25
0.3,316.25
0.4,316.25
0.5,315.79999999999995
0.6,315.9
0.7,318.15
0.8,317.95
0.9,318.15
1.0,318.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,313.15
0.1,312.81666666666666
0.2,313.21666666666664
0.3,315.21
0.4,315.575
0.5,315.35
0.6,315.35
0.7,317.825
0.8,315.25
0.9,318.0
1.0,313.15
0.0,317.85
0.1,315.75
0.2,316.48333333333335
0.3,316.31666666666666
0.4,316.1166666666666
0.5,312.7
0.6,316.71000000000004
0.7,314.75
0.8,312.75
0.85,318.5
0.9,312.75
1.0,312.75
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
1.0,298.0
1.1,298.0
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,310.65
0.1,310.65
0.2,310.65
0.3,310.65
0.4,310.65
0.5,310.65
0.6,310.65
0.7,310.65
0.8,310.65
0.9,310.65
1.0,310.65
1.0,298.0
1.1,298.0
0.11,313.15
0.21,313.15
0.31,313.15
0.41,313.15
0.51,313.15
0.0,307.15
0.1,307.15
0.2,307.15
0.3,307.15
0.4,307.15
0.5,307.15
0.6,307.15
0.7,307.15
0.8,307.15
0.9,307.15
1.0,307.15
0.0,307.15
0.1,307.15
0.2,307.15
0.3,307.15
0.4,307.15
0.5,307.15
0.6,307.15
0.7,307.15
0.8,307.15
0.9,307.15
1.0,307.15
0.0,307.15
0.1,307.15
0.2,307.15
0.3,307.15
0.4,307.15
0.5,307.15
0.6,307.15
0.7,307.15
0.8,307.15
0.9,307.15
1.0,307.15
0.0,307.15
0.1,307.15
0.2,307.15
0.3,307.15
0.4,307.15
0.5,307.15
0.6,307.15
0.7,307.15
0.8,307.15
0.9,307.15
1.0,307.15
0.06,313.15
0.16,313.15
0.26,313.15
0.36,313.15
0.46,313.15
0.56,313.15
0.66,313.15
0.76,313.15
0.86,313.15
0.96,313.15
0.05,313.15
0.15,313.15
0.25,313.15
0.35,313.15
0.45,313.15
0.55,313.15
0.65,313.15
0.75,313.15
0.85,313.15
0.95,313.15
0.0,308.05
0.1,308.05
0.2,308.05
0.3,308.05
0.4,308.05
0.5,308.05
0.6,308.05
0.7,308.05
0.8,308.05
0.9,308.05
1.0,308.05
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.11,303.15
0.21,303.15
0.31,303.15
0.41,303.15
0.51,303.15
0.61,303.15
0.71,303.15
0.81,303.15
0.91,303.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.06,313.15
0.16,313.15
0.26,313.15
0.36,313.15
0.46,313.15
0.56,313.15
0.66,313.15
0.76,313.15
0.86,313.15
0.96,313.15
0.0,293.15
0.1,293.15
0.2,293.15
0.3,293.15
0.4,293.15
0.5,293.15
0.6,293.15
0.7,293.15
0.8,293.15
0.9,293.15
1.0,293.15
0.0,293.15
0.1,298.15
0.2,298.15
0.3,298.15
0.4,298.15
0.5,298.15
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,293.15
0.1,293.15
0.2,293.15
0.3,293.15
0.4,293.15
0.5,293.15
0.6,293.15
0.7,293.15
0.8,293.15
0.9,293.15
1.0,293.15
0.05,305.65
0.15,305.65
0.25,305.65
0.35,305.65
0.45,305.65
0.55,305.65
0.65,305.65
0.75,305.65
0.85,305.65
0.95,305.65
0.05,305.65
0.15,305.65
0.25,305.65
0.35,305.65
0.45,305.65
0.55,305.65
0.65,305.65
0.75,305.65
0.85,305.65
0.95,305.65
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
0.05,305.65
0.15,305.65
0.25,305.65
0.35,305.65
0.45,305.65
0.55,305.65
0.65,305.65
0.75,305.65
0.85,305.65
0.95,305.65
0.11,303.15
0.21,303.15
0.31,303.15
0.41,303.15
0.51,303.15
0.61,303.15
0.71,303.15
0.81,303.15
0.91,303.15
0.04,313.15
0.14,313.15
0.24,313.15
0.34,313.15
0.44,313.15
0.54,313.15
0.64,313.15
0.74,313.15
0.84,313.15
0.94,313.15
1.04,313.15
0.0,311.15
0.1,311.15
0.2,311.15
0.3,311.15
0.4,311.15
0.5,311.15
0.6,311.15
0.7,311.15
0.8,311.15
0.9,311.15
1.0,311.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,304.6666666666667
0.1,304.6666666666667
0.2,304.6666666666667
0.3,304.6666666666667
0.4,304.6666666666667
0.5,304.6666666666667
0.6,304.6666666666667
0.7,304.6666666666667
0.8,304.6666666666667
0.9,304.6666666666667
1.0,304.6666666666667
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,313.15
0.1,313.15
0.11,303.15
0.2,313.15
0.21,303.15
0.3,313.15
0.31,303.15
0.4,313.15
0.41,303.15
0.5,313.15
0.51,303.15
0.6,313.15
0.61,303.15
0.7,313.15
0.71,303.15
0.8,313.15
0.81,303.15
0.9,313.15
0.91,303.15
1.0,313.15
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,313.15
0.1,309.81666666666666
0.2,309.81666666666666
0.3,309.81666666666666
0.4,309.81666666666666
0.5,309.81666666666666
0.6,309.81666666666666
0.7,309.81666666666666
0.8,309.81666666666666
0.9,309.81666666666666
1.0,313.15
0.11,303.15
0.21,303.15
0.31,303.15
0.41,303.15
0.51,303.15
0.61,303.15
0.71,303.15
0.81,303.15
0.91,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
